hard
50
2
656 670
slow 510 745
exlife 740 610
exlife 800 385
exlife 630 70
basic 0 -1214642552
basic -1219293600 33
basic 0 1633824570
basic 145734304 145741456
basic 0 0
basic 390 35
basic 148506160 0
basic -1 -1
basic 420 740
basic 900 670
basic 970 440
basic 530 350
basic 580 305
basic 440 285
small 900 670
small -1 1768716389
small 149340216 149340216
small 330 17
small 148483184 -1219293696
small 310 640
small 840 550
small 410 430
small 500 390
small 310 265
small 900 110
small 390 35
small 200 -20
